LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,UNEMPFORECAST,TOT,PC_LF,A,2011,5.081091691,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2012,5.223575589,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2013,5.661975738,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2014,6.07675792,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2015,6.054210508,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2016,5.709901434,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2017,5.591125763,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2018,5.298299944,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2019,5.196230994,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2020,5.284848584,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2021,5.213907994,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1969,1.884209232,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1970,1.322564577,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1971,1.20810842,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1972,1.153744845,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1973,1.079044863,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1974,1.338425415,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1975,1.76183074,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1976,1.78635329,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1977,1.625710541,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1978,2.064152356,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1979,2.079569228,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1980,1.85736674,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1981,2.533212826,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1982,3.485678095,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1983,4.132923988,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1984,3.787312028,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1985,3.598122922,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1986,3.103645017,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1987,3.787362677,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1988,3.5519261,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1989,3.142855779,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1990,3.269044151,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1991,3.507167097,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1992,3.639793917,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1993,4.272697615,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1994,3.648591789,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1995,3.767485995,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1996,4.179800908,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1997,4.309483193,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1998,4.291904773,
AUT,UNEMPFORECAST,TOT,PC_LF,A,1999,3.729655388,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2000,3.53461546,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2001,3.590759246,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2002,3.952057851,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2003,4.285047436,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2004,5.488431877,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2005,5.627152364,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2006,5.242497229,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2007,4.858206331,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2008,4.127410857,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2009,5.301832277,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2010,4.820354847,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2011,4.564053954,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2012,4.864471424,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2013,5.334924643,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2014,5.618473896,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2015,5.722094067,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2016,6.013551509,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2017,5.499240299,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2018,4.847877333,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2019,4.602285123,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2020,4.548853389,
AUT,UNEMPFORECAST,TOT,PC_LF,A,2021,4.586966936,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1960,2.344135172,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1961,1.694677224,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1962,1.368786538,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1963,1.071933966,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1964,0.916407617,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1965,1.097249311,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1966,1.186980398,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1967,1.743351056,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1968,2.141213195,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1969,1.648135306,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1970,1.27555671,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1971,1.178586196,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1972,1.593140911,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1973,1.602386499,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1974,1.801156455,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1975,3.52923217,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1976,4.786346708,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1977,5.491185651,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1978,6.082196623,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1979,6.33793568,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1980,6.690343317,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1981,8.583879518,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1982,10.07355513,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1983,10.74164331,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1984,10.82499728,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1985,10.11674393,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1986,10.05003256,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1987,9.807786088,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1988,8.834162578,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1989,7.366257914,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1990,6.558267217,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1991,6.450059225,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1992,7.092020281,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1993,8.627265148,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1994,9.750010913,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1995,9.683447997,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1996,9.550468664,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1997,9.217064165,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1998,9.341196742,
BEL,UNEMPFORECAST,TOT,PC_LF,A,1999,8.425848852,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2000,6.857804408,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2001,6.56995148,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2002,7.52562294,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2003,8.175400939,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2004,8.385321333,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2005,8.474990669,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2006,8.266686065,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2007,7.491690366,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2008,6.968329163,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2009,7.908421265,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2010,8.316578612,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2011,7.142355682,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2012,7.543499189,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2013,8.433350318,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2014,8.541620694,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2015,8.483940109,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2016,7.858577542,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2017,7.108654219,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2018,5.974765485,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2019,5.513026537,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2020,5.496275587,
BEL,UNEMPFORECAST,TOT,PC_LF,A,2021,5.455589512,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1960,6.943695304,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1961,7.146270411,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1962,5.884344874,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1963,5.531044825,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1964,4.667030252,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1965,3.862139822,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1966,3.335743285,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1967,3.826253456,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1968,4.47792491,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1969,4.418209735,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1970,5.715872906,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1971,6.190122432,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1972,6.235191654,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1973,5.540377806,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1974,5.335189252,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1975,6.932513287,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1976,7.096186038,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1977,8.063393367,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1978,8.373712143,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1979,7.497051563,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1980,7.523763685,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1981,7.61688382,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1982,11.12428061,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1983,11.99435103,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1984,11.3588703,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1985,10.6363411,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1986,9.692059242,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1987,8.806873501,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1988,7.765076028,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1989,7.534380604,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1990,8.15429579,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1991,10.31315806,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1992,11.21833506,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1993,11.36604863,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1994,10.38038739,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1995,9.471570085,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1996,9.625413638,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1997,9.089501976,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1998,8.283141216,
CAN,UNEMPFORECAST,TOT,PC_LF,A,1999,7.561409081,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2000,6.837353832,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2001,7.227865632,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2002,7.670516606,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2003,7.580138352,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2004,7.156303726,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2005,6.751684922,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2006,6.308239599,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2007,6.032551157,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2008,6.147274435,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2009,8.346803257,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2010,8.022415953,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2011,7.507091851,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2012,7.312040587,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2013,7.092005472,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2014,6.916547602,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2015,6.904228353,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2016,6.995851615,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2017,6.322700846,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2018,5.832879095,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2019,5.649787632,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2020,5.765471411,
CAN,UNEMPFORECAST,TOT,PC_LF,A,2021,5.759424269,
CZE,UNEMPFORECAST,TOT,PC_LF,A,1993,4.34395963,
CZE,UNEMPFORECAST,TOT,PC_LF,A,1994,4.310601216,
CZE,UNEMPFORECAST,TOT,PC_LF,A,1995,4.03791576,
CZE,UNEMPFORECAST,TOT,PC_LF,A,1996,3.908326931,
CZE,UNEMPFORECAST,TOT,PC_LF,A,1997,4.801323463,
CZE,UNEMPFORECAST,TOT,PC_LF,A,1998,6.470976372,
CZE,UNEMPFORECAST,TOT,PC_LF,A,1999,8.746177946,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2000,8.813724516,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2001,8.156749613,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2002,7.304163371,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2003,7.803381951,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2004,8.312280877,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2005,7.917267888,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2006,7.131635074,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2007,5.306279977,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2008,4.376702746,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2009,6.702816207,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2010,7.283982043,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2011,6.707012304,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2012,6.975173843,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2013,6.949256342,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2014,6.110432705,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2015,5.021589593,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2016,3.947150498,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2017,2.890311136,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2018,2.242408677,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2019,1.990705233,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2020,2.106063083,
CZE,UNEMPFORECAST,TOT,PC_LF,A,2021,2.160827163,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1969,1.395441293,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1970,1.054497497,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1971,1.345415299,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1972,1.328499533,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1973,0.865375694,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1974,1.968718295,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1975,4.388912123,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1976,4.547797634,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1977,5.474586095,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1978,6.283708968,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1979,5.158460128,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1980,5.749734899,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1981,7.932335328,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1982,8.48691539,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1983,9.031488343,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1984,8.533357171,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1985,7.147175415,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1986,5.358615779,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1987,5.410714573,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1988,6.070233385,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1989,7.348860348,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1990,7.692833886,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1991,8.459628878,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1992,9.205572517,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1993,10.22304116,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1994,8.339022428,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1995,7.262213799,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1996,6.815214743,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1997,5.629920736,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1998,5.240898888,
DNK,UNEMPFORECAST,TOT,PC_LF,A,1999,5.492673837,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2000,4.633905262,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2001,4.908093263,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2002,4.973283987,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2003,5.881941525,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2004,5.974609353,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2005,5.226304727,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2006,4.226062386,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2007,4.089672358,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2008,3.709626753,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2009,6.39493221,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2010,7.75404157,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2011,7.754064747,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2012,7.796206466,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2013,7.380311366,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2014,6.860718964,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2015,6.28671812,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2016,6.011239144,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2017,5.812023518,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2018,5.103521402,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2019,4.993677661,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2020,4.972655858,
DNK,UNEMPFORECAST,TOT,PC_LF,A,2021,5.037418964,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1960,1.342599118,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1961,1.09530963,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1962,1.181081581,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1963,1.369438894,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1964,1.396261389,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1965,1.237683812,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1966,1.388372222,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1967,2.824720434,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1968,3.798723777,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1969,2.711789402,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1970,1.766554573,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1971,2.111642617,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1972,2.423325663,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1973,2.201833121,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1974,1.616484897,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1975,2.120851933,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1976,3.715967586,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1977,5.717535257,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1978,7.013735246,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1979,5.697915952,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1980,4.475198466,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1981,4.932510529,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1982,5.270417344,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1983,5.337523627,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1984,5.11202871,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1985,4.942696466,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1986,5.272448533,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1987,4.99028877,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1988,4.426543833,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1989,4.302935108,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1990,4.428877511,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1991,7.919515532,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1992,12.91460556,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1993,17.50861901,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1994,17.7641631,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1995,16.58983906,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1996,15.75679567,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1997,12.65223956,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1998,11.3781412,
FIN,UNEMPFORECAST,TOT,PC_LF,A,1999,10.20627627,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2000,9.783658489,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2001,9.126679463,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2002,9.091780034,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2003,9.029714396,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2004,8.820127241,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2005,8.394543547,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2006,7.722809668,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2007,6.85110758,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2008,6.363888632,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2009,8.24309186,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2010,8.394160584,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2011,7.781919851,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2012,7.685873606,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2013,8.202541106,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2014,8.667661877,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2015,9.372384937,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2016,8.809013875,
FIN,UNEMPFORECAST,TOT,PC_LF,A,2017,8.643457383,
